OBJECTID,Aadress,Toidukoht_arv,Teenustase,Teenus_arv,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Parkimisnorm,Parkimis_koefitsent,GlobalID
6317,Anne tn 31,11,Baastase,20,51.5930855,4,2,6,74,0.74203457,{CB3C743D-8CB9-4659-B9D4-A5055AB82F4A}
6318,Side tn 2,12,-,16,56.57387486,2,0,5,100,1,{4288F379-6040-426E-BC72-79848C52B841}
6319,Kirsi tn 18,8,Baastase,10,42.61961323,1,1,3,79,0.78690193,{332824B4-2F42-4E98-B983-187F36D7702B}
6320,Vaksali tn 34,7,-,19,49.98039733,1,0,3,100,1,{B978075A-2FDF-4D5E-84FF-BEF82647460A}
6321,Lepa tn 19,11,Baastase,26,50.86988481,5,6,7,75,0.74565058,{C85ED5C7-2342-4400-9C6D-867CDB3D2864}
6322,Pallase pst 20,0,-,2,3.89694179,0,0,0,100,1,{F63EAA94-63E9-4A3C-BE85-610E6CF753A6}
6323,Lepa tn 23,11,Baastase,27,50.86988481,4,5,7,75,0.74565058,{88A514E6-9F63-4687-A7C1-D6A8DDD7ADCC}
6324,A. Laigo tn 3,0,-,2,0.29213362,0,0,2,100,1,{9D209A87-075C-403F-995C-1D9D3148C397}
6325,Jaama tn 141,9,Baastase,17,55.68145211,5,3,5,72,0.72159274,{03CA9929-C3F4-4890-B9FE-3E57D2734CE9}
6326,Pärna tn 33,12,Baastase,16,55.26686322,3,2,8,72,0.72366568,{CC0D51BB-9968-4151-9B07-DEB21E58ABE2}
6327,V. Melliku tn 16,0,-,1,1.30585777,0,0,2,100,1,{360C5066-273E-420E-ADC1-B83B4730B131}
6328,Tähe tn 15c/6,28,Hea tase,22,65.91082811,2,5,10,34,0.34089172,{261FCE25-3453-4DF0-B3FA-EF07AAD6F3DA}
6329,J. Hurda tn 10,9,Baastase,15,49.15198912,2,2,2,75,0.75424005,{23593166-4611-4C49-BA65-4C1D75D3F923}
6330,Aleksandri tn 38,12,Baastase,11,60.3713201,1,2,12,70,0.6981434,{72BA2F3F-F97A-42D3-A51E-87B8B876C71A}
6331,Käo tn 3,2,Baastase,2,24.2702762,1,2,1,88,0.87864862,{C1355D90-4890-41BD-AE24-7775888C5D69}
6332,A. Vardi tn 4,0,-,2,1.30585777,0,0,2,100,1,{725CD4BD-EE60-4E33-810C-B25799106253}
6333,A. Vardi tn 2,0,-,2,1.30585777,0,0,2,100,1,{A6F6E645-F868-47D3-8A67-B8FA968D9F76}
6334,Vahi tn 6,0,-,7,15.40004521,0,0,4,100,1,{1E78A0AF-74D0-4593-9F54-F41B27441113}
6335,Raatuse tn 103,8,Baastase,14,56.10444889,2,2,7,72,0.71947776,{C41D1D0B-77FA-4DA0-94B2-F66443F7355C}
6336,Mäe tn 18,25,Hea tase,42,57.91467079,1,2,11,42,0.42085329,{69DAF484-B7D9-4CF2-A729-356967AABE19}
6337,Timuti tn 2a,1,-,3,27.14004628,1,0,1,100,1,{39D83F8A-7AD3-4AB5-B73C-BAE66993F7A9}
6338,Räni tn 9a,3,Baastase,6,45.63587431,1,1,4,77,0.77182063,{840D8949-118B-452D-9231-FC01B5E48DA0}
6339,Kiire tn 3,3,Baastase,12,52.62108904,1,1,3,74,0.73689455,{6B2F6B03-0B1F-4274-B3E9-35E89D1D0F94}
6340,Tamme pst 70,1,Baastase,3,35.66627978,1,2,2,82,0.8216686,{3A76384E-7118-4AFE-B055-6BD19A4C41C9}
6341,Maisi tn 49,1,-,3,17.07283681,1,0,2,100,1,{3A71ACEB-701E-4E8E-BBF2-4970F6A39CD3}
6342,Kesk kaar 19,3,Baastase,5,45.63587431,1,1,4,77,0.77182063,{29C64799-18F1-40AE-A8D9-7706B25A3E9A}
6343,Suur kaar 37,1,Baastase,3,35.27888955,1,1,1,82,0.82360555,{686199B0-05C7-4C42-B3B0-C6471B118A22}
6344,Tamme pst 58a,2,Baastase,6,35.23038612,1,2,1,82,0.82384807,{005BDB7D-34C1-4A73-B682-BBF218391F5F}
6345,Linda tn 2,13,Baastase,8,59.18204609,2,2,5,70,0.70408977,{6E8361A9-E227-42E8-8BD5-500BD9DB0C7D}
6346,Lai tn 4,104,Hea tase,84,51.01641084,2,4,9,49,0.48983589,{06ACA187-278F-4E35-A69F-28AA6B4EA8D1}
6347,Tamme pst 99,1,-,2,39.72939258,0,1,1,100,1,{2E52C0FF-582A-477B-A87E-DEC62ED7E6D3}
6348,Leevikese tn 27a,1,-,3,39.34767928,0,2,1,100,1,{27F74852-FDB3-4C8A-9E25-4DA82B2F3730}
6349,V. Ormissoni tn 7,0,-,1,1.30585777,0,0,2,100,1,{12DD0946-A3BF-4F62-A683-081F8EE371CD}
6350,Kesakanni tn 37,0,-,1,1.30585777,0,0,2,100,1,{4D3A7943-5ECE-4005-836E-74A3632DB14C}
6351,Kesk tn 28,14,Baastase,19,60.35853996,3,1,3,70,0.6982073,{26AF0DAF-4644-4A93-826A-6A0A48FF1EFB}
6352,Linda tn 26,11,-,13,57.85260499,2,0,5,100,1,{070D58E3-3140-41CA-BB9D-B1E2D5F90834}
6353,Sinika tn 5,2,-,2,25.86809539,1,0,0,100,1,{6494BFF6-A353-459D-9ABC-40D1273ED454}
6354,Malmi tn 2,11,Baastase,9,62.2235571,1,1,7,69,0.68888221,{396983A2-D94E-4400-9FBC-5B88E8A2E730}
