Index,Address,Room Count,Size,Price
30,"Tartu, Tartu linn, Annelinn, Annelinn, Aiandi tee 5",3,64.4 m²,109 000 €
31,"Tartu, Tartu linn, Kesklinn, Riia tn 20",2,37.4 m²,137 900 €
32,"Tartu, Tartu linn, Annelinn, Anne 83",2,49.6 m²,95 000 €
33,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 13-18",2,47.1 m²,84 700 €
34,"Tartu, Tartu linn, Veeriku, Kannikese 33",3,61.1 m²,109 000 €
35,"Tartu, Tartu linn, Annelinn, Jaama tn 181",3,68.4 m²,89 900 €
36,"Tartu, Tartu linn, Annelinn, Ihaste põik 10",2,49.8 m²,174 900 €
37,"Tartu, Tartu linn, Variku, Timuti tn 15",1,33.2 m²,77 900 €
38,"Tartu, Tartu linn, Annelinn, Sõpruse pst 3 (Broneeritud)",3,60.8 m²,89 000 €
39,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 16",1,18 m²,48 000 €
40,"Tartu, Annelinn, Kaunase pst 35",1,33.7 m²,66 500 €
41,"Tartu, Tartu linn, Karlova, Raua tn 16a",3,49.5 m²,89 000 €
42,"Tartu, Tartu linn, Veeriku, Viljandi mnt 72-14",2,38.6 m²,75 000 €
43,"Tartu, Tartu linn, Vaksali, Kooli 42",1,19.5 m²,75 900 €
44,"Tartu, Annelinn, Kaunase pst 39",3,65.5 m²,92 000 €
45,"Tartu, Tartu linn, Tähtvere, Supilinn, Tähtvere tn 16",1,23 m²,56 000 €
46,"Tartu, Tartu linn, Vaksali, Tähtvere , A. Haava tn 26",4,119 m²,419 500 €
47,"Tartu, Tartu linn, Annelinn, Anne tn 80",3,65.3 m²,97 900 €
48,"Tartu, Tartu linn, Annelinn, Sõpruse pst 5",4,71.1 m²,125 000 €
49,"Tartu, Tartu linn, Karlova, Võru tn 108-3",3,46.7 m²,169 000 €
50,"Tartu, Tartu linn, Ülejõe, Uus 45-5",3,72 m²,329 500 €
51,"Tartu, Jaamamõisa, Jaama 111a",4,118.2 m²,136 000 €
