ads_oid,ehr_gid,ehr_kood,ehr_url,etak_id,taisaadres,lahiaadres,kaos_kood,kaos_nimet,unik,MYRAKLASS
EE00749683,"104015659",104015659,https://livekluster.ehr.ee/ui/ehr/v1/building/104015659,721721,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 72",Riia tn 72,"11101",Üksikelamu,Jah,"55"
EE00773506,"104041483",104041483,https://livekluster.ehr.ee/ui/ehr/v1/building/104041483,721584,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 127",Kastani tn 127,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00748196,"104014043",104014043,https://livekluster.ehr.ee/ui/ehr/v1/building/104014043,723762,"Tartu maakond, Tartu linn, Tartu linn, Kesk kaar 1",Kesk kaar 1,"11101",Üksikelamu,Jah,"55"
EE00772459,"104040322",104040322,https://livekluster.ehr.ee/ui/ehr/v1/building/104040322,721982,"Tartu maakond, Tartu linn, Tartu linn, Suur kaar 67",Suur kaar 67,"11101",Üksikelamu,Jah,"55"
EE00749667,"104015643",104015643,https://livekluster.ehr.ee/ui/ehr/v1/building/104015643,711059,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 34",Riia tn 34,"11101",Üksikelamu,Jah,"55"
EE00773510,"104041489",104041489,https://livekluster.ehr.ee/ui/ehr/v1/building/104041489,717517,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 129",Kastani tn 129,"11101",Üksikelamu,Jah,"55"
EE00774508,"104042549",104042549,https://livekluster.ehr.ee/ui/ehr/v1/building/104042549,715988,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 44",Riia tn 44,"11101",Üksikelamu,Jah,"55"
EE00773525,"104041504",104041504,https://livekluster.ehr.ee/ui/ehr/v1/building/104041504,715276,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 171",Kastani tn 171,"11101",Üksikelamu,Jah,"55"
EE00772875,"104040779",104040779,https://livekluster.ehr.ee/ui/ehr/v1/building/104040779,728690,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 69",Võru tn 69,"11101",Üksikelamu,Jah,"55"
EE00768645,"104036006",104036006,https://livekluster.ehr.ee/ui/ehr/v1/building/104036006,717123,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 159",Kastani tn 159,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00772886,"104040790",104040790,https://livekluster.ehr.ee/ui/ehr/v1/building/104040790,724776,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 75",Võru tn 75,"11101",Üksikelamu,Jah,"55"
EE00773503,"104041480",104041480,https://livekluster.ehr.ee/ui/ehr/v1/building/104041480,722444,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 123",Kastani tn 123,"11101",Üksikelamu,Jah,"55"
EE00770935,"104038611",104038611,https://livekluster.ehr.ee/ui/ehr/v1/building/104038611,644986,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 121",Kastani tn 121,"11101",Üksikelamu,Jah,"55"
EE00772929,"104040841",104040841,https://livekluster.ehr.ee/ui/ehr/v1/building/104040841,723607,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 65",Võru tn 65,"11222; 12319","Muu kolme või enama korteriga elamu; Muu kaubandushoone",Jah,"55"
EE00773522,"104041501",104041501,https://livekluster.ehr.ee/ui/ehr/v1/building/104041501,721777,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 169",Kastani tn 169,"11101",Üksikelamu,Jah,"55"
EE01940597,"104039839",104039839,https://livekluster.ehr.ee/ui/ehr/v1/building/104039839,720656,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 149",Kastani tn 149,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00766482,"104033660",104033660,https://livekluster.ehr.ee/ui/ehr/v1/building/104033660,723229,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 183",Kastani tn 183,"11222; 12201","Muu kolme või enama korteriga elamu; Büroohoone",Jah,"55"
EE02281640,"120642034",120642034,https://livekluster.ehr.ee/ui/ehr/v1/building/120642034,6499734,"Tartu maakond, Tartu linn, Tartu linn, Elva tn 1",Elva tn 1,"11212",Kahe korteriga elamu,Jah,"55"
EE01640600,"104016026",104016026,https://livekluster.ehr.ee/ui/ehr/v1/building/104016026,722013,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 68",Riia tn 68,"11101",Üksikelamu,Jah,"55"
EE00767184,"104034439",104034439,https://livekluster.ehr.ee/ui/ehr/v1/building/104034439,729866,"Tartu maakond, Tartu linn, Tartu linn, Suur kaar 1",Suur kaar 1,"11101",Üksikelamu,Jah,"55"
EE00769308,"104036718",104036718,https://livekluster.ehr.ee/ui/ehr/v1/building/104036718,721957,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 60",Riia tn 60,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00766620,"104033801",104033801,https://livekluster.ehr.ee/ui/ehr/v1/building/104033801,719390,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 54",Riia tn 54,"11101",Üksikelamu,Jah,"55"
EE00760325,"104026989",104026989,https://livekluster.ehr.ee/ui/ehr/v1/building/104026989,721642,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 40",Riia tn 40,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00748122,"104013965",104013965,https://livekluster.ehr.ee/ui/ehr/v1/building/104013965,713746,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 143",Kastani tn 143,"11101",Üksikelamu,Jah,"55"
EE00748124,"104013967",104013967,https://livekluster.ehr.ee/ui/ehr/v1/building/104013967,718084,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 167",Kastani tn 167,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00748837,"104014755",104014755,https://livekluster.ehr.ee/ui/ehr/v1/building/104014755,721481,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 42",Riia tn 42,"11101",Üksikelamu,Jah,"55"
EE00774778,"104042846",104042846,https://livekluster.ehr.ee/ui/ehr/v1/building/104042846,717544,"Tartu maakond, Tartu linn, Tartu linn, Raudtee tn 1",Raudtee tn 1,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00760046,"104026698",104026698,https://livekluster.ehr.ee/ui/ehr/v1/building/104026698,717237,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 36",Riia tn 36,"11212",Kahe korteriga elamu,Jah,"55"
EE03758112,"121286196",121286196,https://livekluster.ehr.ee/ui/ehr/v1/building/121286196,7778905,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 133",Kastani tn 133,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01168845,"120272546",120272546,https://livekluster.ehr.ee/ui/ehr/v1/building/120272546,736733,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 58",Riia tn 58,"11212",Kahe korteriga elamu,Jah,"55"
EE03455000,"120749414",120749414,https://livekluster.ehr.ee/ui/ehr/v1/building/120749414,6955699,"Tartu maakond, Tartu linn, Tartu linn, Kesk kaar 1a",Kesk kaar 1a,"11101",Üksikelamu,Jah,"55"
EE00768652,"104036013",104036013,https://livekluster.ehr.ee/ui/ehr/v1/building/104036013,711391,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 135",Kastani tn 135,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00773000,"104040917",104040917,https://livekluster.ehr.ee/ui/ehr/v1/building/104040917,730775,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 196",Võru tn 196,"11101; 12201","Üksikelamu; Büroohoone",Jah,"55"
EE00773006,"104040923",104040923,https://livekluster.ehr.ee/ui/ehr/v1/building/104040923,721450,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 206a",Võru tn 206a,"11101",Üksikelamu,Jah,"55"
EE00759135,"104025736",104025736,https://livekluster.ehr.ee/ui/ehr/v1/building/104025736,719035,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 234",Võru tn 234,"11101",Üksikelamu,Jah,"55"
EE00757018,"104023441",104023441,https://livekluster.ehr.ee/ui/ehr/v1/building/104023441,722532,"Tartu maakond, Tartu linn, Tartu linn, Jalaka tn 59c",Jalaka tn 59c,"11101",Üksikelamu,Jah,"55"
EE00749795,"104015775",104015775,https://livekluster.ehr.ee/ui/ehr/v1/building/104015775,730185,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 214",Võru tn 214,"11101",Üksikelamu,Jah,"55"
EE00765154,"104032174",104032174,https://livekluster.ehr.ee/ui/ehr/v1/building/104032174,718303,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 6",Aardla tn 6,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00773003,"104040920",104040920,https://livekluster.ehr.ee/ui/ehr/v1/building/104040920,710594,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 200c",Võru tn 200c,"11101",Üksikelamu,Jah,"55"
EE00773012,"104040929",104040929,https://livekluster.ehr.ee/ui/ehr/v1/building/104040929,730198,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 204",Võru tn 204,"11101",Üksikelamu,Jah,"55"
EE00750374,"104016422",104016422,https://livekluster.ehr.ee/ui/ehr/v1/building/104016422,728225,"Tartu maakond, Tartu linn, Tartu linn, Alasi tn 29",Alasi tn 29,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00769184,"104036586",104036586,https://livekluster.ehr.ee/ui/ehr/v1/building/104036586,729990,"Tartu maakond, Tartu linn, Tartu linn, Leegi tn 1",Leegi tn 1,"11101",Üksikelamu,Jah,"55"
EE00769185,"104036587",104036587,https://livekluster.ehr.ee/ui/ehr/v1/building/104036587,728889,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 216",Võru tn 216,"11101",Üksikelamu,Jah,"55"
