Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
29,"Tartu, Tartu linn, Karlova, Siili tn 6-12",2,44.9,187000,8.0,-,25.22853671,0.0,0.0,3.0,5.0,100.0,1.0,45.0,26.74856839307159,58.3667962,2136.389920614132
30,"Tartu, Tartu linn, Annelinn, Annelinn, Aiandi tee 5",3,64.4,109000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.78465932978723,58.3726353,3744.049972730002
31,"Tartu, Tartu linn, Kesklinn, Riia tn 20",2,37.4,137900,47.0,Hea tase,79.93601388,3.0,7.0,9.0,52.0,20.0,0.20063986,46.17695630081301,26.718721680083657,58.372189000000006,905.2280112191164
32,"Tartu, Tartu linn, Annelinn, Anne 83",2,49.6,95000,25.0,Baastase,26.57337897,5.0,6.0,9.0,12.0,87.0,0.86713311,40.0,26.76201336699563,58.3760021,2369.7844245875053
33,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 13-18",2,47.1,84700,8.0,Baastase,29.48414163,1.0,1.0,3.0,3.0,85.0,0.85257929,50.0,26.7548905,58.3847175,1976.5360393548078
34,"Tartu, Tartu linn, Veeriku, Kannikese 33",3,61.1,109000,7.0,Baastase,46.96862914,1.0,3.0,3.0,3.0,77.0,0.76515685,45.0,26.68114724999999,58.375952,2449.8773554328995
35,"Tartu, Tartu linn, Annelinn, Jaama tn 181",3,68.4,89900,16.0,Baastase,18.87967104,4.0,5.0,7.0,6.0,91.0,0.90560164,46.17695630081301,26.76521729438267,58.3782858,2520.903545229299
36,"Tartu, Tartu linn, Annelinn, Ihaste põik 10",2,49.8,174900,0.0,-,6.72564049,0.0,0.0,4.0,1.0,100.0,1.0,55.0,26.7610219,58.36688555,2703.477929962095
37,"Tartu, Tartu linn, Variku, Timuti tn 15",1,33.2,77900,1.0,-,17.3946792,1.0,0.0,0.0,0.0,100.0,1.0,40.0,26.701975,58.3480245,3764.93731106919
38,"Tartu, Tartu linn, Annelinn, Sõpruse pst 3 (Broneeritud)",3,60.8,89000,29.0,Hea tase,52.57433295,4.0,3.0,5.0,15.0,47.0,0.47425667,55.0,26.751841301948044,58.3791835,1733.1975333420999
39,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 16",1,18.0,48000,57.0,Hea tase,63.97362497,1.0,3.0,11.0,62.0,36.0,0.36026375,50.0,26.73280347515528,58.374043,913.822732400589
40,"Tartu, Annelinn, Kaunase pst 35",1,33.7,66500,12.0,Baastase,29.6979463,4.0,6.0,8.0,5.0,85.0,0.85151027,45.0,26.76783478605769,58.3721195,2810.4314200459135
